time, Quad.Est.E.Pos, Quad.Est.S.Z
3.224949,0.201675,0.355644
3.229948,0.201350,0.355757
3.234948,0.200886,0.355926
3.239948,0.200562,0.356040
3.244947,0.200100,0.356210
3.249947,0.199801,0.356325
3.254946,0.199358,0.356497
3.259946,0.199043,0.356613
3.264946,0.198602,0.356786
3.269945,0.198323,0.356903
3.274945,0.197892,0.357078
3.279945,0.197608,0.357195
3.284944,0.197196,0.357372
3.289944,0.196928,0.357490
3.294944,0.196515,0.357669
3.299943,0.196315,0.357788
3.304943,0.175233,0.356704
3.309942,0.174808,0.356814
3.314942,0.174254,0.356980
3.319942,0.173879,0.357091
3.324941,0.173334,0.357258
3.329941,0.173006,0.357370
3.334941,0.172432,0.357539
3.339940,0.172047,0.357652
3.344940,0.171474,0.357822
3.349940,0.171096,0.357936
3.354939,0.170546,0.358108
3.359939,0.170209,0.358223
3.364938,0.169679,0.358396
3.369938,0.169325,0.358512
3.374938,0.168817,0.358686
3.379937,0.168535,0.358803
3.384937,0.168062,0.358979
3.389937,0.167715,0.359097
3.394936,0.167264,0.359274
3.399936,0.166976,0.359393
3.404936,0.186364,0.358314
3.409935,0.186168,0.358423
3.414935,0.186043,0.358588
3.419935,0.185950,0.358699
3.424934,0.185849,0.358865
3.429934,0.185775,0.358977
3.434933,0.185651,0.359145
3.439933,0.185562,0.359258
3.444933,0.185434,0.359427
3.449932,0.185379,0.359540
3.454932,0.185299,0.359711
3.459932,0.185254,0.359826
3.464931,0.185149,0.359998
3.469931,0.185072,0.360113
3.474931,0.184944,0.360287
3.479930,0.184870,0.360404
3.484930,0.184787,0.360579
3.489929,0.184740,0.360696
3.494929,0.184662,0.360873
3.499929,0.184617,0.360991
3.504928,0.210965,0.359916
3.509928,0.211208,0.360025
3.514928,0.211610,0.360189
3.519927,0.211865,0.360300
3.524927,0.212261,0.360465
3.529927,0.212529,0.360576
3.534926,0.212939,0.360744
3.539926,0.213205,0.360856
3.544925,0.213577,0.361024
3.549925,0.213828,0.361137
3.554925,0.214195,0.361308
3.559924,0.214435,0.361421
3.564924,0.214804,0.361593
3.569924,0.215023,0.361708
3.574923,0.215372,0.361881
3.579923,0.215573,0.361997
3.584923,0.215903,0.362171
3.589922,0.216105,0.362288
3.594922,0.216433,0.362464
3.599921,0.216660,0.362582
3.604921,0.253655,0.361511
3.609921,0.253766,0.361620
3.614920,0.253996,0.361783
3.619920,0.254210,0.361893
3.624920,0.254460,0.362058
3.629919,0.254643,0.362169
3.634919,0.254859,0.362335
3.639919,0.254994,0.362447
3.644918,0.255182,0.362615
3.649918,0.255329,0.362727
3.654917,0.255541,0.362897
3.659917,0.255704,0.363010
3.664917,0.255902,0.363181
3.669916,0.255966,0.363296
3.674916,0.256154,0.363468
3.679916,0.256190,0.363583
3.684915,0.256351,0.363757
3.689915,0.256483,0.363873
3.694915,0.256657,0.364049
3.699914,0.256801,0.364166
3.704914,0.226772,0.363099
3.709913,0.226933,0.363207
3.714913,0.227082,0.363370
3.719913,0.227112,0.363480
3.724912,0.227253,0.363644
3.729912,0.227327,0.363754
3.734912,0.227411,0.363920
3.739911,0.227435,0.364031
3.744911,0.227468,0.364198
3.749911,0.227491,0.364310
3.754910,0.227537,0.364479
3.759910,0.227533,0.364592
3.764910,0.227512,0.364762
3.769909,0.227592,0.364876
3.774909,0.227642,0.365048
3.779908,0.227804,0.365163
3.784908,0.227862,0.365336
3.789908,0.227890,0.365452
3.794907,0.227939,0.365626
3.799907,0.228024,0.365743
3.804907,0.225211,0.364680
3.809906,0.225251,0.364788
3.814906,0.225375,0.364951
3.819906,0.225437,0.365059
3.824905,0.225582,0.365223
3.829905,0.225625,0.365333
3.834904,0.225784,0.365498
3.839904,0.225889,0.365609
3.844904,0.226061,0.365775
3.849903,0.226181,0.365887
3.854903,0.226385,0.366055
3.859903,0.226537,0.366167
3.864902,0.226737,0.366337
3.869902,0.226811,0.366450
3.874902,0.226990,0.366621
3.879901,0.227222,0.366736
3.884901,0.227435,0.366908
3.889900,0.227441,0.367023
3.894900,0.227622,0.367197
3.899900,0.227873,0.367314
3.904899,0.239181,0.366255
3.909899,0.239422,0.366362
3.914899,0.239800,0.366524
3.919898,0.240047,0.366632
3.924898,0.240409,0.366795
3.929898,0.240650,0.366904
3.934897,0.241013,0.367069
3.939897,0.241244,0.367179
3.944896,0.241602,0.367345
3.949896,0.241843,0.367456
3.954896,0.242198,0.367623
3.959895,0.242520,0.367735
3.964895,0.242915,0.367904
3.969895,0.243161,0.368017
3.974894,0.243547,0.368187
3.979894,0.243910,0.368301
3.984894,0.244288,0.368473
3.989893,0.244588,0.368588
3.994893,0.244940,0.368761
3.999892,0.245276,0.368877
0.005000,0.000017,0.300030
0.010000,0.000037,0.300057
0.015000,0.000072,0.300105
0.020000,0.000092,0.300143
0.025000,0.000147,0.300210
0.030000,0.000173,0.300260
0.035000,0.000206,0.300344
0.040000,0.000219,0.300407
0.045000,0.000249,0.300509
