time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
2.095031,-0.002083,-0.007116,0.006079
2.100030,-0.001911,-0.006526,0.005943
2.105030,-0.001646,-0.005733,0.005781
2.110029,-0.001480,-0.005274,0.005684
2.115029,-0.001257,-0.004694,0.005582
2.120029,-0.001125,-0.004367,0.005509
2.125028,-0.000961,-0.003963,0.005376
2.130028,-0.000869,-0.003743,0.005249
2.135028,-0.000745,-0.003461,0.004921
2.140027,-0.000659,-0.003288,0.004566
2.145027,-0.000471,-0.002998,0.003848
2.150027,-0.000312,-0.002790,0.003261
2.155026,0.000003,-0.002432,0.002225
2.160026,0.000242,-0.002184,0.001457
2.165025,0.000643,-0.001789,0.000235
2.170025,0.000951,-0.001495,-0.000612
2.175025,0.001431,-0.001043,-0.001882
2.180024,0.001755,-0.000733,-0.002689
2.185024,0.002264,-0.000227,-0.003788
2.190024,0.002595,0.000119,-0.004419
2.195023,0.003052,0.000631,-0.005212
2.200023,0.003338,0.000983,-0.005637
2.205023,0.003719,0.001506,-0.006150
2.210022,0.003936,0.001846,-0.006407
2.215022,0.004183,0.002312,-0.006661
2.220021,0.004303,0.002597,-0.006760
2.225021,0.004418,0.002982,-0.006799
2.230021,0.004463,0.003217,-0.006780
2.235020,0.004479,0.003526,-0.006696
2.240020,0.004460,0.003698,-0.006604
2.245020,0.004396,0.003916,-0.006412
2.250019,0.004335,0.004033,-0.006258
2.255019,0.004221,0.004164,-0.006012
2.260019,0.004143,0.004242,-0.005863
2.265018,0.004012,0.004325,-0.005651
2.270018,0.003918,0.004359,-0.005529
2.275017,0.003780,0.004400,-0.005368
2.280017,0.003687,0.004417,-0.005283
2.285017,0.003542,0.004416,-0.005194
2.290016,0.003449,0.004419,-0.005145
2.295016,0.003309,0.004408,-0.005060
2.300016,0.003220,0.004405,-0.005009
2.305015,0.003086,0.004376,-0.004932
2.310015,0.003001,0.004364,-0.004881
2.315015,0.002879,0.004353,-0.004798
2.320014,0.002800,0.004342,-0.004727
2.325014,0.002688,0.004332,-0.004599
2.330014,0.002619,0.004341,-0.004507
2.335013,0.002514,0.004340,-0.004383
2.340013,0.002443,0.004326,-0.004317
2.345012,0.002340,0.004313,-0.004214
2.350012,0.002272,0.004302,-0.004153
2.355012,0.002170,0.004279,-0.004056
2.360011,0.002105,0.004253,-0.003976
2.365011,0.002010,0.004214,-0.003851
2.370011,0.001949,0.004188,-0.003773
2.375010,0.001862,0.004141,-0.003644
2.380010,0.001807,0.004093,-0.003552
2.385010,0.001727,0.004025,-0.003426
2.390009,0.001678,0.003966,-0.003317
2.395009,0.001609,0.003858,-0.003178
2.400008,0.001566,0.003774,-0.003076
2.405008,0.001507,0.003621,-0.002941
2.410008,0.001471,0.003503,-0.002853
2.415007,0.001425,0.003325,-0.002723
2.420007,0.001400,0.003186,-0.002616
2.425007,0.001369,0.002964,-0.002446
2.430006,0.001353,0.002821,-0.002343
2.435006,0.001334,0.002617,-0.002199
2.440006,0.001325,0.002472,-0.002098
2.445005,0.001317,0.002249,-0.001955
2.450005,0.001315,0.002107,-0.001857
2.455004,0.001314,0.001900,-0.001727
2.460004,0.001316,0.001762,-0.001627
2.465004,0.001326,0.001527,-0.001487
2.470003,0.001336,0.001374,-0.001391
2.475003,0.001348,0.001181,-0.001230
2.480003,0.001360,0.001043,-0.001129
2.485002,0.001382,0.000824,-0.001000
2.490002,0.001400,0.000669,-0.000912
2.495002,0.001421,0.000467,-0.000750
2.500001,0.001436,0.000334,-0.000618
2.505001,0.001458,0.000150,-0.000425
2.510000,0.001474,0.000029,-0.000310
2.515000,0.001498,-0.000150,-0.000192
2.520000,0.001515,-0.000275,-0.000129
2.524999,0.001542,-0.000464,-0.000066
2.529999,0.001562,-0.000598,-0.000028
2.534999,0.001590,-0.000789,0.000052
2.539998,0.001606,-0.000902,0.000096
2.544998,0.001625,-0.001047,0.000151
2.549998,0.001636,-0.001140,0.000192
2.554997,0.001659,-0.001307,0.000290
2.559997,0.001669,-0.001394,0.000350
2.564996,0.001681,-0.001503,0.000441
2.569996,0.001686,-0.001558,0.000512
2.574996,0.001689,-0.001615,0.000615
2.579995,0.001692,-0.001663,0.000661
2.584995,0.001697,-0.001754,0.000700
2.589995,0.001703,-0.001833,0.000742
2.594994,0.001707,-0.001928,0.000808
2.599994,0.001707,-0.001980,0.000842
2.604994,0.001705,-0.002050,0.000888
2.609993,0.001704,-0.002103,0.000913
2.614993,0.001701,-0.002176,0.000934
2.619992,0.001695,-0.002208,0.000951
2.624992,0.001684,-0.002249,0.000990
2.629992,0.001674,-0.002272,0.001016
2.634991,0.001655,-0.002272,0.001073
2.639991,0.001642,-0.002258,0.001098
2.644991,0.001621,-0.002235,0.001128
2.649990,0.001607,-0.002216,0.001132
2.654990,0.001588,-0.002197,0.001123
2.659990,0.001576,-0.002185,0.001094
2.664989,0.001555,-0.002158,0.001046
2.669989,0.001541,-0.002130,0.000992
2.674989,0.001518,-0.002075,0.000919
2.679988,0.001505,-0.002044,0.000894
2.684988,0.001486,-0.001998,0.000846
2.689987,0.001475,-0.001971,0.000829
2.694987,0.001459,-0.001943,0.000821
2.699987,0.001449,-0.001924,0.000832
2.704986,0.001433,-0.001898,0.000861
2.709986,0.001422,-0.001885,0.000880
2.714986,0.001408,-0.001867,0.000902
2.719985,0.001398,-0.001834,0.000912
2.724985,0.001383,-0.001790,0.000928
2.729985,0.001373,-0.001755,0.000928
2.734984,0.001358,-0.001701,0.000924
2.739984,0.001347,-0.001654,0.000907
2.744983,0.001331,-0.001570,0.000880
2.749983,0.001320,-0.001514,0.000842
2.754983,0.001305,-0.001447,0.000793
2.759982,0.001297,-0.001413,0.000767
2.764982,0.001285,-0.001359,0.000717
2.769982,0.001278,-0.001319,0.000700
2.774981,0.001266,-0.001260,0.000697
2.779981,0.001256,-0.001207,0.000700
2.784981,0.001242,-0.001139,0.000668
2.789980,0.001234,-0.001093,0.000645
2.794980,0.001224,-0.001031,0.000598
2.799979,0.001218,-0.001006,0.000572
2.804979,0.001211,-0.000970,0.000548
2.809979,0.001205,-0.000933,0.000525
2.814978,0.001199,-0.000874,0.000502
2.819978,0.001194,-0.000822,0.000497
2.824978,0.001189,-0.000759,0.000484
2.829977,0.001185,-0.000729,0.000478
2.834977,0.001180,-0.000687,0.000442
2.839977,0.001178,-0.000671,0.000408
2.844976,0.001176,-0.000631,0.000375
2.849976,0.001175,-0.000594,0.000349
2.854975,0.001174,-0.000534,0.000305
2.859975,0.001173,-0.000499,0.000264
2.864975,0.001171,-0.000453,0.000198
2.869974,0.001169,-0.000426,0.000154
2.874974,0.001165,-0.000412,0.000083
2.879974,0.001163,-0.000399,0.000060
2.884973,0.001159,-0.000397,0.000072
2.889973,0.001156,-0.000391,0.000094
2.894973,0.001152,-0.000348,0.000128
2.899972,0.001150,-0.000316,0.000125
2.904972,0.001149,-0.000252,0.000115
